Lon.,Lat.,Obs. DO,Sim. WR,Time
140.0516667,35.58444444,5.1,85.22611797,2015/06/01
140.0608333,35.605,5.9,77.68062651,2015/06/01
139.99,35.64722222,8.3,48.17730968,2015/06/01
139.945,35.67638889,2.5,39.43873498,2015/06/01
139.9627778,35.6075,8.4,76.62599535,2015/06/01
139.895,35.61166667,9.5,57.71256171,2015/06/01
139.9055556,35.55444444,5.8,73.28827537,2015/06/01
140.0191667,35.54055555,2.4,89.31719561,2015/06/01
139.9466667,35.535,4.9,70.23090129,2015/06/01
140.0733333,35.565,3.7,81.03387187,2015/06/01
