 No       Lon.(X)        Lat.(Y)   Node(Cell)   Depth(Cell)             Station Name
  1 388650.947852 3945702.882051            1         6.748                    Tokyo
  2 413510.243747 3936460.273314          254        12.822                    Chiba
  3 376961.671688 3924254.829456          541         7.073           Yokohamashinko
  4 385756.229234 3907991.928788         1123        26.617              Daini-Kaiho
  5 377366.031863 3905821.935357          946         6.595                 Yokosuka
  6 383595.047821 3899052.839033         1239        38.793              Kyurihamako
  7 400171.676110 3941984.420715          274         7.930             Yoko_01_0001
  8 400954.735874 3941282.382401          293         9.821             Yoko_01_0002
  9 401737.919152 3940580.416295          327        10.789             Yoko_01_0003
 10 402521.225919 3939878.522384          331        11.692             Yoko_01_0004
 11 403304.656153 3939176.700652          375        13.091             Yoko_01_0005
 12 404088.209829 3938474.951084          374        13.703             Yoko_01_0006
 13 404871.886923 3937773.273664          372        14.473             Yoko_01_0007
 14 405655.687412 3937071.668378          410        15.787             Yoko_01_0008
 15 406439.611272 3936370.135210          410        15.787             Yoko_01_0009
 16 407223.658479 3935668.674146          409        16.420             Yoko_01_0010
 17 408007.829009 3934967.285170          409        16.420             Yoko_01_0011
 18 408792.122838 3934265.968266          379        15.825             Yoko_01_0012
 19 409576.539944 3933564.723420          380        16.701             Yoko_01_0013
 20 410361.080302 3932863.550617          338        16.164             Yoko_01_0014
 21 411145.743888 3932162.449840          300        15.891             Yoko_01_0015
 22 411930.530679 3931461.421076          261        14.966             Yoko_01_0016
 23 412715.440652 3930760.464308          210        13.159             Yoko_01_0017
 24 391389.359508 3930395.042015          533        18.627             Yoko_02_0001
 25 392206.435325 3929706.638173          587        23.158             Yoko_02_0002
 26 393023.636709 3929018.312630          619        25.519             Yoko_02_0003
 27 393840.963638 3928330.065370          619        25.519             Yoko_02_0004
 28 394658.416089 3927641.896376          655        26.588             Yoko_02_0005
 29 395475.994037 3926953.805633          648        25.798             Yoko_02_0006
 30 396293.697461 3926265.793122          647        24.794             Yoko_02_0007
 31 397111.526337 3925577.858830          649        24.541             Yoko_02_0008
 32 397929.480642 3924890.002738          611        22.823             Yoko_02_0009
 33 398747.560352 3924202.224831          577        19.886             Yoko_02_0010
 34 399565.765445 3923514.525092          542        11.510             Yoko_02_0011
 35 400384.095897 3922826.903505          517         7.817             Yoko_02_0012
 36 401202.551686 3922139.360053          492         3.800             Yoko_02_0013
 37 385146.966894 3903228.516327         1194        35.983             Yoko_03_0001
 38 385879.479425 3904078.914489         1182        40.697             Yoko_03_0002
 39 386611.855765 3904929.369685         1168        34.938             Yoko_03_0003
 40 387344.095883 3905779.881932         1150        26.071             Yoko_03_0004
 41 388076.199744 3906630.451248         1134        18.450             Yoko_03_0005
 42 388808.167315 3907481.077652         1115        13.189             Yoko_03_0006
 43 389539.998564 3908331.761162         1130         8.382             Yoko_03_0007
 44 379603.504464 3889334.735808         1462        39.123             Yoko_04_0001
 45 379988.831078 3888277.115690         1521        51.198             Yoko_04_0002
 46 380374.253449 3887219.515982         1587        74.789             Yoko_04_0003
 47 380759.771545 3886161.936681         1587        74.789             Yoko_04_0004
 48 381145.385332 3885104.377780         1661       114.982             Yoko_04_0005
 49 381531.094780 3884046.839277         1724       177.120             Yoko_04_0006
 50 381916.899855 3882989.321164         1789       273.043             Yoko_04_0007
 51 382302.800524 3881931.823439         1790       358.500             Yoko_04_0008
 52 382688.796756 3880874.346095         1836       446.931             Yoko_04_0009
 53 383074.888517 3879816.889128         1835       480.581             Yoko_04_0010
 54 383461.075775 3878759.452534         1881       467.056             Yoko_04_0011
 55 383847.358498 3877702.036306         1837       430.431             Yoko_04_0012
 56 384233.736654 3876644.640440         1883       364.859             Yoko_04_0013
 57 384620.210209 3875587.264931         1884       266.400             Yoko_04_0014
 58 385006.779131 3874529.909775         1884       266.400             Yoko_04_0015
 59 385393.443388 3873472.574965         1885       168.589             Yoko_04_0016
 60 385780.202947 3872415.260498         1886        98.548             Yoko_04_0017
 61 386167.057775 3871357.966368         1920        55.075             Yoko_04_0018
 62 413372.952708 3943365.926849          107         9.060             Tate_01_0001
 63 412716.278540 3942563.091032          113         9.464             Tate_01_0002
 64 412059.487438 3941760.302337          154        10.177             Tate_01_0003
 65 411402.579428 3940957.560749          198        10.892             Tate_01_0004
 66 410745.554539 3940154.866255          250        11.784             Tate_01_0005
 67 410088.412797 3939352.218842          294        12.821             Tate_01_0006
 68 409431.154229 3938549.618497          294        12.821             Tate_01_0007
 69 408773.778864 3937747.065207          335        14.194             Tate_01_0008
 70 408116.286728 3936944.558956          371        14.959             Tate_01_0009
 71 407458.677849 3936142.099734          409        16.420             Tate_01_0010
 72 406800.952254 3935339.687525          409        16.420             Tate_01_0011
 73 406143.109970 3934537.322317          443        17.532             Tate_01_0012
 74 405485.151025 3933735.004095          443        17.532             Tate_01_0013
 75 404827.075446 3932932.732847          450        18.761             Tate_01_0014
 76 404168.883259 3932130.508559          481        19.819             Tate_01_0015
 77 403510.574493 3931328.331218          481        19.819             Tate_01_0016
 78 402852.149175 3930526.200809          509        20.727             Tate_01_0017
 79 402193.607331 3929724.117320          510        20.503             Tate_01_0018
 80 401534.948990 3928922.080736          545        20.946             Tate_01_0019
 81 400876.174178 3928120.091045          545        20.946             Tate_01_0020
 82 400217.282922 3927318.148232          575        22.255             Tate_01_0021
 83 399558.275250 3926516.252284          573        20.777             Tate_01_0022
 84 398899.151189 3925714.403188          576        20.678             Tate_01_0023
 85 398239.910766 3924912.600929          611        22.823             Tate_01_0024
 86 397580.554009 3924110.845494          612        22.121             Tate_01_0025
 87 396921.080944 3923309.136870          683        23.345             Tate_01_0026
 88 396261.491598 3922507.475042          717        24.347             Tate_01_0027
 89 395601.786000 3921705.859997          719        23.428             Tate_01_0028
 90 394941.964175 3920904.291721          747        23.602             Tate_01_0029
 91 394282.026152 3920102.770200          752        20.744             Tate_01_0030
 92 393621.971957 3919301.295422          779        19.340             Tate_01_0031
 93 392961.801617 3918499.867371          802        20.610             Tate_01_0032
 94 392301.515160 3917698.486034          809        18.827             Tate_01_0033
 95 391641.112612 3916897.151398          833        18.332             Tate_01_0034
 96 390980.594002 3916095.863448          859        17.536             Tate_01_0035
 97 390319.959355 3915294.622170          891        16.881             Tate_01_0036
 98 389659.208699 3914493.427552          921        17.497             Tate_01_0037
 99 388998.342061 3913692.279578          952        17.041             Tate_01_0038
100 388337.359469 3912891.178235          987        16.543             Tate_01_0039
101 387676.260948 3912090.123509         1015        17.041             Tate_01_0040
102 387015.046527 3911289.115387         1044        17.123             Tate_01_0041
103 386353.716233 3910488.153854         1043        22.900             Tate_01_0042
104 385692.270091 3909687.238896         1089        23.954             Tate_01_0043
105 385030.708131 3908886.370499         1106        30.226             Tate_01_0044
106 384369.030377 3908085.548650         1135        39.469             Tate_01_0045
107 383707.236859 3907284.773334         1136        42.812             Tate_01_0046
108 383707.236859 3907284.773334         1136        42.812             Tate_02_0001
109 384461.115101 3906504.736911         1152        41.929             Tate_02_0002
110 385215.124785 3905724.767753         1154        38.453             Tate_02_0003
111 385969.265880 3904944.865844         1170        39.501             Tate_02_0004
112 386723.538357 3904165.031170         1182        40.697             Tate_02_0005
113 387477.942185 3903385.263714         1192        41.706             Tate_02_0006
114 388232.477335 3902605.563460         1191        40.948             Tate_02_0007
115 388987.143776 3901825.930394         1202        40.989             Tate_02_0008
116 389741.941478 3901046.364499         1212        39.210             Tate_02_0009
117 390496.870413 3900266.865759         1224        34.852             Tate_02_0010
118 390496.870413 3900266.865759         1224        34.852             Tate_03_0001
119 390067.085524 3899192.024194         1235        39.476             Tate_03_0002
120 389637.203952 3898117.202287         1243        33.246             Tate_03_0003
121 389207.225730 3897042.400028         1252        40.913             Tate_03_0004
122 388777.150894 3895967.617408         1262        57.913             Tate_03_0005
123 388346.979479 3894892.854420         1276        92.979             Tate_03_0006
124 387916.711519 3893818.111053         1292       151.577             Tate_03_0007
125 387486.347049 3892743.387299         1309       224.523             Tate_03_0008
126 387055.886104 3891668.683149         1331       282.078             Tate_03_0009
127 386625.328719 3890593.998594         1332       300.129             Tate_03_0010
128 386194.674929 3889519.333626         1362       292.570             Tate_03_0011
129 385763.924769 3888444.688235         1401       237.445             Tate_03_0012
130 385333.078274 3887370.062412         1447       175.050             Tate_03_0013
131 384902.135478 3886295.456148         1507       137.367             Tate_03_0014
132 384471.096416 3885220.869435         1508       192.151             Tate_03_0015
133 384039.961124 3884146.302263         1574       201.022             Tate_03_0016
134 383608.729637 3883071.754624         1726       320.448             Tate_03_0017
135 383177.401988 3881997.226508         1726       320.448             Tate_03_0018
136 382745.978214 3880922.717906         1836       446.931             Tate_03_0019
137 382314.458348 3879848.228809         1835       480.581             Tate_03_0020
