Lat.,Lon.,Layer,Time,WA_U,WA_D,WA_R,RUD
35.277928,139.685045,1,0,19.31,10.52,37.02,0.19
35.277928,139.68955,1,0,18.95,10.17,36.81,0.19
35.277928,139.694054,1,0,18.68,9.93,36.64,0.19
35.277928,139.698559,1,0,18.45,9.81,36.53,0.19
35.277928,139.703063,1,0,18.26,9.76,36.43,0.19
35.277928,139.712072,1,0,17.95,9.53,35.99,0.18
35.277928,139.716577,1,0,17.92,9.25,35.64,0.19
35.277928,139.721081,1,0,17.8,9.09,35.33,0.19
35.277928,139.725586,1,0,17.68,9.15,35.07,0.18
35.277928,139.73009,1,0,17.49,9.16,34.61,0.18
35.277928,139.734595,1,0,17.32,9.02,34.02,0.18
35.277928,139.739099,1,0,17.26,9.12,33.54,0.18
35.277928,139.743604,1,0,17.27,9.59,33.19,0.18
35.277928,139.748108,1,0,17.33,10.13,32.89,0.18
35.277928,139.752613,1,0,17.53,10.92,32.74,0.18
35.277928,139.757117,1,0,17.76,11.8,32.68,0.18
35.282432,139.680541,1,0,19.83,11.59,37.43,0.19
35.282432,139.685045,1,0,19.25,10.62,37.22,0.19
35.282432,139.68955,1,0,18.9,10.24,36.99,0.19
35.282432,139.694054,1,0,18.56,9.99,36.78,0.19
35.282432,139.703063,1,0,18.2,9.69,36.41,0.19
35.282432,139.707568,1,0,18.09,9.5,36.12,0.19
35.282432,139.712072,1,0,18.0,9.29,35.78,0.19
35.282432,139.716577,1,0,17.91,9.05,35.36,0.19
35.282432,139.721081,1,0,17.79,8.86,34.93,0.19
35.282432,139.725586,1,0,17.71,8.75,34.51,0.19
35.282432,139.73009,1,0,17.58,8.86,34.12,0.19
35.282432,139.734595,1,0,17.48,8.71,33.52,0.19
35.282432,139.739099,1,0,17.43,8.79,33.02,0.19
35.282432,139.743604,1,0,17.42,9.33,32.73,0.19
35.282432,139.748108,1,0,17.5,9.83,32.4,0.19
35.282432,139.752613,1,0,17.73,10.38,32.13,0.19
35.282432,139.757117,1,0,17.9,10.73,31.81,0.19
35.282432,139.761622,1,0,18.07,11.08,31.51,0.19
35.286937,139.653514,1,0,17.84,43.49,28.28,-0.05
35.286937,139.658018,1,0,18.02,42.43,30.21,-0.03
35.286937,139.676036,1,0,20.09,11.53,37.74,0.19
35.286937,139.680541,1,0,19.82,11.4,37.86,0.19
35.286937,139.685045,1,0,19.2,10.78,37.48,0.19
35.286937,139.68955,1,0,18.78,10.32,37.14,0.19
35.286937,139.694054,1,0,18.47,10.06,36.92,0.19
35.286937,139.698559,1,0,18.23,9.88,36.69,0.18
35.286937,139.703063,1,0,18.16,9.61,36.36,0.19
35.286937,139.707568,1,0,18.06,9.38,36.0,0.19
